user_id,skill_id
0,1
0,999999
151,3
151,4
151,5
151,6
151,8
151,9
151,11
151,12
151,13
151,200
151,1054
151,999999
41,17
41,25
41,26
41,27
41,28
41,29
41,49
41,1312
51,16
51,19
51,30
51,31
51,32
51,33
51,34
51,35
51,36
51,37
51,999999
51,999999
51,999999
51,41
51,42
51,43
51,44
51,45
51,46
51,47
51,48
51,49
19670,4
19670,19
19670,33
19670,50
19670,51
19670,52
19670,53
19670,54
19670,55
19670,56
19670,999999
25822,14
25822,34
25822,43
25822,999999
25822,59
25822,60
25822,61
25822,62
5371,63
25299,49
25299,64
1,9
1,19
1,33
1,65
1,69
1,78
1,225
1,1067
941,3
941,4
941,16
941,19
941,999999
941,33
941,34
941,43
941,49
941,54
941,64
941,65
941,999999
941,999999
941,999999
941,999999
941,999999
941,999999
941,999999
941,999999
941,87
941,88
941,89
941,91
941,244
941,491
941,758
22870,14
22870,34
22870,43
22870,45
22870,92
22870,93
22870,94
22870,95
720821,17
720821,43
720821,49
720821,63
720821,64
720821,96
720821,97
720821,98
720821,99
720821,100
720821,101
720821,102
720821,103
720821,999999
720821,105
720821,106
720821,999999
720821,108
720821,109
720821,999999
720821,111
720821,112
17409,3
17409,4
17409,7
17409,11
17409,19
17409,23
17409,33
17409,34
17409,43
17409,44
17409,62
17409,76
17409,77
17409,79
17409,113
17409,114
17409,115
17409,999999
17409,117
17409,118
17409,119
17409,120
17409,121
17409,122
17409,123
17409,124
17409,999999
17409,999999
17409,127
17409,128
17409,129
17409,130
17409,131
17409,999999
17409,999999
17409,999999
1112998,135
1112998,136
1112998,137
1112998,138
1112998,139
1112998,140
341,49
341,64
341,102
341,122
341,139
341,141
341,142
341,143
341,144
341,145
341,146
593984,19
593984,23
593984,33
593984,49
593984,115
593984,137
593984,147
593984,148
4111,49
4111,64
17179,143
17179,149
17179,150
17179,151
17179,152
17179,153
17179,999999
28717,33
28717,49
28717,155
261,49
261,64
261,136
261,156
261,157
261,158
261,159
261,160
261,161
261,162
261,163
17680,26
17680,28
17680,29
17680,33
17680,49
17680,142
17680,160
17680,164
17680,165
17680,999999
17680,167
17680,168
17680,169
23251,49
23251,64
23251,170
23251,171
18187,27
18187,49
18187,63
18187,98
18187,162
18187,172
18187,173
18187,174
18187,175
18187,176
18187,177
18187,178
18187,179
18187,180
18187,999999
18187,182
18187,183
18187,184
18187,999999
18187,186
18187,187
18187,999999
18187,189
6611,49
6611,64
6611,137
6611,145
6611,190
11551,33
11551,43
11551,135
11551,149
11551,163
11551,191
11551,192
11551,193
11551,194
19478,49
19478,64
34674,17
34674,49
34674,63
34674,64
34674,98
34674,100
34674,101
34674,108
34674,173
34674,174
34674,179
34674,182
34674,195
34674,196
34674,999999
34674,198
34674,199
34674,200
34674,201
34674,202
34674,203
34674,204
34674,205
228216,152
228216,206
2371,19
2371,34
2371,43
2371,64
2371,76
321,4
321,11
321,16
321,19
321,30
321,33
321,34
321,41
321,43
321,76
321,115
321,207
321,208
321,209
16871,19
16871,33
16871,34
16871,49
16871,64
16871,210
16341,9
16341,11
16341,19
16341,33
16341,36
16341,49
16341,76
16341,79
16341,211
16341,212
16341,213
27248,16
27248,19
27248,30
27248,34
27248,43
27248,76
1991,4
1991,16
1991,19
1991,33
1991,43
1991,49
1991,76
1991,115
1991,214
1991,215
10621,33
10621,97
10621,10032
30611,152
30611,160
30611,206
30611,218
30611,219
30611,220
30611,221
30611,222
30611,223
18321,11
18321,30
18321,33
18321,34
18321,43
18321,49
18321,76
18321,77
18321,135
2801,3
2801,4
2801,19
2801,33
2801,224
2801,225
11181,49
11181,64
11181,96
11181,244
11181,309
1891,49
1891,64
1891,135
1891,226
21511,49
21511,140
21511,210
21511,999999
21511,999999
21511,229
21511,230
21511,231
21511,232
21511,233
19602,17
19602,33
19602,34
19602,43
19602,64
19602,97
19602,101
19602,152
19602,160
19602,234
19602,999999
19602,999999
19602,237
21904,152
21904,179
21904,223
21904,238
21904,239
21904,240
21904,241
15431,999999
15431,243
21,103
21,144
21,149
21,244
21,245
21,246
21,247
21,248
21,249
21,999999
21,251
11,4
11,11
11,19
11,33
11,34
11,76
11,89
11,252
11,253
11,254
17174,98
17174,162
17174,190
17174,214
17174,255
17174,256
931,11
931,19
931,34
931,43
931,45
931,76
931,200
931,999999
931,258
931,259
18001,9
18001,11
18001,19
18001,23
18001,30
18001,33
18001,34
18001,43
18001,65
18001,76
18001,113
18001,118
18001,123
18001,130
18001,164
18001,260
18001,261
18001,262
18001,999999
18001,999999
18001,999999
18001,266
18001,999999
18001,999999
18001,999999
18001,999999
18001,271
18001,999999
18001,999999
18001,274
18001,999999
18001,276
18001,277
18001,278
18001,999999
18001,280
18001,281
18001,282
42037,19
42037,33
42037,34
42037,76
42037,115
