user_id,school_id,degree_id
151,11825.0,2.0
151,13556.0,
41,11929.0,1.0
41,13087.0,
51,999999.0,
51,10822.0,
19670,999999.0,
19670,4836.0,
25822,11098.0,
25822,13229.0,
5371,999999.0,
5371,11806.0,
25299,10408.0,
25299,999999.0,
25299,1428.0,
2811,999999.0,
2811,13017.0,
1,6179.0,
1,10967.0,
17332,8153.0,
17332,6616.0,
941,999999.0,
941,17106.0,
1411,13644.0,
1411,15481.0,
22870,4078.0,
22870,999999.0,
720821,999999.0,
720821,3487.0,
1112998,4142.0,
1112998,999999.0,
341,999999.0,
341,6616.0,
593984,999999.0,
593984,12010.0,
4111,4836.0,
17179,10822.0,
28717,999999.0,
28717,15485.0,
20414,999999.0,
261,6736.0,
261,15498.0,
17680,13555.0,
17680,1428.0,
23251,999999.0,
23251,1426.0,
18187,12938.0,
6611,999999.0,
6611,12523.0,
22730,10872.0,
22730,10822.0,
11551,13158.0,
11551,10442.0,
19478,15498.0,
191,12523.0,
34674,4788.0,
34674,4787.0,
34674,4071.0,
34674,4817.0,
228216,15329.0,
228216,8759.0,
5128567,10427.0,
5128567,11278.0,
17797,999999.0,
19732,999999.0,
19732,15597.0,
19732,15583.0,
321,6316.0,
321,999999.0,
17226,11806.0,
17226,4188.0,
16871,999999.0,
16871,999999.0,
16871,7875.0,
27248,15971.0,
24723,2997.0,
1991,14527.0,
1991,14534.0,
10621,999999.0,
10621,999999.0,
30194,999999.0,
30194,15485.0,
30194,15481.0,
30194,4173.0,
18321,13556.0,
18321,11930.0,
2801,7260.0,
17501,999999.0,
17501,14530.0,
11181,10279.0,
1891,15194.0,
1891,10279.0,
1891,10345.0,
21511,999999.0,
21511,4081.0,
19602,6616.0,
21904,17432.0,
21904,15583.0,
73226,11606.0,
73226,6616.0,
15431,16419.0,
21,999999.0,
21,12049.0,
11,11929.0,
11,999999.0,
11,11934.0,
17174,999999.0,
17174,11098.0,
17174,11200.0,
17832,5106.0,
17832,4916.0,
931,11235.0,
931,4620.0,
931,4629.0,
18001,999999.0,
18001,9984.0,
42037,999999.0,
42037,5106.0,
17511,11278.0,
17511,11291.0,
17511,999999.0,
17511,11825.0,
22480,13087.0,
22480,1426.0,
23356,1082.0,
8361,15515.0,
8361,10872.0,
17229,13556.0,
17229,3487.0,
23190,999999.0,
23190,10279.0,
6401,11934.0,
6401,2900.0,
5101,12648.0,
5101,3487.0,
17723,15971.0,
17723,999999.0,
17655,999999.0,
17655,11806.0,
17655,11825.0,
30589,999999.0,
30589,14527.0,
20755,16836.0,
20755,12010.0,
28155,999999.0,
28155,6616.0,
18327,13039.0,
18327,13371.0,
18327,13370.0,
84121,15150.0,
84121,2516.0,
3271,999999.0,
3271,534.0,
3271,2599.0,
25922,9791.0,
25922,11098.0,
17553,13623.0,
17553,999999.0,
89103,10407.0,
89103,1428.0,
89103,10282.0,
2421,12899.0,
2421,4620.0,
4581,13473.0,
4581,999999.0,
18259,999999.0,
18259,11098.0,
2491,14331.0,
2491,11187.0,
17434,15971.0,
17434,12002.0,
17434,12006.0,
11571,999999.0,
11571,4963.0,
2791,11806.0,
2791,15023.0,
17397,999999.0,
17397,13710.0,
48562,999999.0,
48562,10378.0,
48562,10329.0,
24648,9599.0,
24648,17220.0,
3021,10329.0,
3021,12899.0,
2373698,1429.0,
23198,999999.0,
23198,15515.0,
861776,999999.0,
861776,10616.0,
861776,10617.0,
17248,4788.0,
17248,4787.0,
6206816,999999.0,
6206816,6683.0,
6421,999999.0,
6421,17173.0,
17378,999999.0,
17378,999999.0,
17639,5479.0,
17639,4963.0,
18973,11278.0,
19201,10424.0,
19201,10329.0,
19201,999999.0,
1181,999999.0,
1181,4620.0,
1181,4629.0,
26005,999999.0,
20065,999999.0,
20065,13182.0,
91528,15515.0,
2891,12209.0,
2891,1426.0,
6631,10405.0,
6631,1426.0,
17278,12380.0,
51069,999999.0,
51069,11110.0,
22301,11825.0,
22301,11806.0,
22301,999999.0,
21106,7875.0,
21106,9812.0,
33861,13398.0,
33861,13373.0,
4511,8759.0,
4511,999999.0,
20145,11054.0,
20145,2599.0,
20145,11929.0,
20145,11934.0,
2631,17126.0,
2631,999999.0,
681,10399.0,
681,10368.0,
681,1426.0,
681,999999.0,
681,999999.0,
19491,999999.0,
19491,999999.0,
19491,15481.0,
18427,6795.0,
18427,6683.0,
8891,999999.0,
8891,11098.0,
22337,999999.0,
22337,1426.0,
27657,15481.0,
