user_id,company_id,industry_id
0,1,2
151,1,2
151,1,9
41,1,2
41,1,9
51,1,2
51,1,3
19670,2,2
19670,2,3
25822,1,2
25822,1,3
5371,1,0
2811,999999,0
2811,4,0
2811,999999,0
1,1,0
1,999999,0
17332,1,0
941,999999,3
1411,7,0
1411,2,2
1411,2,9
11081,8,0
11081,999999,0
11081,999999,0
11081,999999,0
22870,999999,0
22870,4,0
22870,13,0
22870,14,0
22870,15,0
22870,16,0
22870,17,3
22870,17,109
720821,18,0
720821,19,0
17409,999999,0
17409,21,0
17409,999999,0
17409,999999,0
17409,999999,0
17409,999999,0
17409,26,0
17409,999999,21
17409,999999,34
17409,999999,40
17409,999999,9
17409,999999,21
17409,999999,21
1112998,30,0
1112998,999999,0
1112998,32,0
341,1,0
593984,33,0
593984,34,0
593984,32,3
593984,32,9
4111,999999,0
4111,36,0
4111,37,81
17179,38,0
17179,39,0
17179,40,0
17179,41,0
17179,999999,0
17179,999999,0
17179,44,0
28717,999999,0
28717,36,0
28717,46,0
20414,47,0
20414,999999,0
20414,999999,0
20414,999999,0
20414,999999,0
261,999999,0
261,999999,2
261,999999,3
261,999999,21
17680,54,0
17680,55,3
17680,55,17
17680,55,61
23251,56,0
23251,57,0
23251,58,0
18187,999999,0
18187,999999,0
18187,999999,0
18187,999999,0
18187,999999,3
18187,999999,6
18187,999999,118
6611,64,0
6611,999999,0
6611,66,3
6611,66,9
22730,67,0
22730,68,0
22730,36,0
22730,69,0
11551,999999,3
11551,999999,9
11551,999999,54
19478,71,0
19478,999999,3
19478,999999,9
19478,999999,11
191,64,0
191,999999,21
191,999999,116
34674,999999,0
34674,999999,0
34674,999999,0
34674,77,0
34674,78,0
34674,79,0
34674,999999,144
34674,999999,0
34674,999999,3
34674,999999,9
34674,999999,81
228216,999999,0
228216,84,0
5128567,85,0
5128567,86,0
2371,999999,0
17797,88,3
17797,88,9
17797,88,10
21973,999999,0
21973,999999,0
21973,91,0
21973,92,3
19732,93,0
19732,94,3
321,999999,0
321,96,0
321,97,0
321,98,0
321,14,0
321,99,0
17226,999999,0
16871,101,0
16341,999999,0
16341,999999,0
27248,104,0
27248,14,0
27248,105,0
27248,999999,3
27248,107,0
24723,999999,0
24723,54,0
24723,999999,0
24723,110,0
1991,111,0
1991,999999,0
1991,999999,3
1991,999999,9
1991,114,0
1991,999999,3
1991,999999,10
1991,999999,53
10621,64,0
10621,999999,0
10621,999999,3
10621,117,0
10621,999999,21
10621,999999,44
10621,999999,81
30611,117,0
30611,119,0
30611,999999,2
30194,999999,0
30194,122,0
30194,999999,0
30194,124,0
30194,125,0
18321,125,0
18321,999999,0
2801,127,0
2801,2,0
2801,999999,0
2801,36,0
2801,999999,0
17501,999999,0
17501,131,0
17501,999999,0
11181,133,0
11181,57,0
11181,91,0
1891,134,0
1891,999999,0
1891,136,3
1891,136,21
1891,136,81
21511,999999,0
21511,14,0
21511,999999,21
21511,999999,34
19602,139,0
19602,140,0
19602,141,0
19602,142,3
21904,2,0
21904,143,0
21904,144,0
21904,145,0
73226,146,0
73226,146,0
73226,147,0
73226,148,0
73226,34,3
73226,34,3
15431,999999,0
15431,999999,0
15431,151,0
15431,999999,0
15431,153,3
15431,153,6
15431,999999,21
15431,999999,40
15431,155,3
21,4,0
21,1,2
21,1,3
21,1,9
11,4,0
11,999999,0
11,157,2
11,157,41
11,157,76
17174,999999,2
17174,999999,0
17174,999999,0
17832,161,0
17832,999999,0
17832,999999,0
17832,164,0
17832,999999,0
931,166,0
931,999999,0
931,999999,0
18001,169,0
18001,170,0
18001,171,0
18001,14,0
18001,172,0
18001,999999,3
18001,999999,9
18001,999999,40
42037,999999,0
42037,172,0
42037,46,0
17511,175,0
17511,999999,0
17511,177,0
17511,999999,0
17511,999999,2
17511,999999,49
22480,999999,0
22480,999999,0
22480,182,0
22480,183,3
22480,183,151
23356,184,0
23356,999999,3
23356,999999,11
23356,999999,44
8361,186,0
8361,187,0
8361,188,0
8361,189,3
8361,189,9
8361,189,11
17229,56,0
17229,190,0
17229,21,3
17229,21,4
17229,21,44
23190,17,0
23190,192,0
2871,999999,0
2871,194,0
2871,999999,0
2871,999999,0
2871,999999,0
6401,198,0
6401,198,0
6401,198,0
6401,199,0
6401,198,0
6401,999999,41
26768,999999,0
26768,999999,3
26768,999999,21
26768,999999,118
5101,203,0
5101,999999,6
5101,999999,116
5101,999999,151
17723,999999,0
17723,206,0
17723,999999,0
17723,14,0
17723,208,0
17723,999999,0
17723,999999,0
17723,211,3
17723,211,9
17655,212,0
17655,999999,44
17655,999999,3
17655,212,76
30589,999999,0
30589,36,0
30589,216,0
30589,999999,0
20755,218,0
20755,999999,0
20755,999999,0
20755,999999,9
20755,999999,82
20755,999999,121
28155,36,0
28155,222,0
18327,999999,0
18327,999999,0
18327,999999,5
18327,999999,10
18327,999999,20
22574,999999,0
22574,227,0
84121,86,0
84121,228,0
84121,999999,0
84121,999999,21
3271,999999,0
3271,999999,0
3271,999999,0
3271,234,1
3271,234,2
3271,234,3
25922,999999,0
25922,999999,0
25922,999999,0
25922,999999,0
25922,999999,0
25922,999999,41
17553,241,0
17553,125,0
17553,242,0
17553,999999,0
89103,999999,0
89103,999999,0
89103,246,0
89103,999999,0
89103,999999,0
89103,999999,0
2421,999999,0
4581,999999,0
4581,999999,0
4581,999999,0
4581,999999,0
4581,999999,0
4581,255,0
4581,999999,0
18259,257,0
18259,999999,0
18259,259,0
2491,260,0
2491,261,0
2491,999999,0
2491,263,2
17434,264,0
17434,999999,0
17434,266,0
17434,999999,0
25136,999999,3
